r_time:13:17:17 01.08.2022 | Trade:032 | pos:1 | len:6 | approx_cum_ret:2.74% | trade_ret:0.04% | eps:0.0010 | t_time:2010-05-04 14:20:00-04:00 | idx:6531
r_time:13:19:43 01.08.2022 | Trade:033 | pos:1 | len:24 | approx_cum_ret:1.83% | trade_ret:-0.91% | eps:0.0010 | t_time:2010-05-05 09:55:00-04:00 | idx:6556
r_time:13:20:10 01.08.2022 | Trade:034 | pos:-1 | len:3 | approx_cum_ret:1.61% | trade_ret:-0.22% | eps:0.0010 | t_time:2010-05-05 10:15:00-04:00 | idx:6560
r_time:13:20:35 01.08.2022 | Trade:035 | pos:1 | len:4 | approx_cum_ret:1.53% | trade_ret:-0.08% | eps:0.0010 | t_time:2010-05-05 10:40:00-04:00 | idx:6565
r_time:13:21:12 01.08.2022 | Trade:036 | pos:-1 | len:5 | approx_cum_ret:1.32% | trade_ret:-0.21% | eps:0.0010 | t_time:2010-05-05 11:10:00-04:00 | idx:6571
r_time:13:21:38 01.08.2022 | Trade:037 | pos:1 | len:3 | approx_cum_ret:1.57% | trade_ret:0.25% | eps:0.0010 | t_time:2010-05-05 11:30:00-04:00 | idx:6575
r_time:13:27:31 01.08.2022 | Trade:038 | pos:1 | len:50 | approx_cum_ret:1.03% | trade_ret:-0.54% | eps:0.0010 | t_time:2010-05-05 15:45:00-04:00 | idx:6626
r_time:13:31:10 01.08.2022 | Trade:039 | pos:-1 | len:30 | approx_cum_ret:2.13% | trade_ret:1.10% | eps:0.0010 | t_time:2010-05-06 12:00:00-04:00 | idx:6659
r_time:13:31:33 01.08.2022 | Trade:040 | pos:-1 | len:3 | approx_cum_ret:1.74% | trade_ret:-0.39% | eps:0.0010 | t_time:2010-05-06 12:20:00-04:00 | idx:6663
----saving weights, trade logs and replay buffer-----
r_time:13:32:12 01.08.2022 | Trade:041 | pos:1 | len:5 | approx_cum_ret:1.51% | trade_ret:-0.23% | eps:0.0010 | t_time:2010-05-06 12:50:00-04:00 | idx:6669
r_time:13:32:32 01.08.2022 | Trade:042 | pos:-1 | len:2 | approx_cum_ret:1.31% | trade_ret:-0.20% | eps:0.0010 | t_time:2010-05-06 13:05:00-04:00 | idx:6672
r_time:13:32:58 01.08.2022 | Trade:043 | pos:1 | len:3 | approx_cum_ret:0.88% | trade_ret:-0.43% | eps:0.0010 | t_time:2010-05-06 13:25:00-04:00 | idx:6676
r_time:13:35:42 01.08.2022 | Trade:044 | pos:-1 | len:22 | approx_cum_ret:3.03% | trade_ret:2.15% | eps:0.0010 | t_time:2010-05-06 15:20:00-04:00 | idx:6699
r_time:13:35:57 01.08.2022 | Trade:045 | pos:1 | len:1 | approx_cum_ret:2.71% | trade_ret:-0.32% | eps:0.0010 | t_time:2010-05-06 15:30:00-04:00 | idx:6701
r_time:13:36:17 01.08.2022 | Trade:046 | pos:1 | len:2 | approx_cum_ret:3.14% | trade_ret:0.43% | eps:0.0010 | t_time:2010-05-06 15:45:00-04:00 | idx:6704
r_time:13:36:34 01.08.2022 | Trade:047 | pos:-1 | len:2 | approx_cum_ret:2.56% | trade_ret:-0.58% | eps:0.0010 | t_time:2010-05-06 16:00:00-04:00 | idx:6707
